Month,Brooklyn,Manhattan,NYC,Queens
2007-01-01,,2531.000,2207.000,
2007-02-01,,2473.000,2170.000,
2007-03-01,,2481.000,2185.000,
2007-04-01,,2511.000,2200.000,
2007-05-01,,2534.000,2223.000,
2007-06-01,,2558.000,2244.000,
2007-07-01,,2598.000,2280.000,
2007-08-01,,2633.000,2306.000,
2007-09-01,,2649.000,2324.000,
2007-10-01,,2660.000,2337.000,
2007-11-01,,2682.000,2349.000,
2007-12-01,,2692.000,2356.000,
2008-01-01,,2695.000,2358.000,
2008-02-01,,2693.000,2361.000,
2008-03-01,,2699.000,2365.000,
2008-04-01,,2698.000,2365.000,
2008-05-01,,2698.000,2364.000,
2008-06-01,,2697.000,2364.000,
2008-07-01,,2698.000,2366.000,
2008-08-01,,2698.000,2368.000,
2008-09-01,,2686.000,2358.000,
2008-10-01,,2658.000,2335.000,
2008-11-01,,2629.000,2310.000,
2008-12-01,,2593.000,2278.000,
2009-01-01,,2557.000,2249.000,
2009-02-01,,2522.000,2220.000,
2009-03-01,,2494.000,2196.000,
2009-04-01,,2470.000,2175.000,
2009-05-01,,2453.000,2161.000,
2009-06-01,,2443.000,2152.000,
2009-07-01,,2443.000,2152.000,
2009-08-01,,2438.000,2148.000,
2009-09-01,,2438.000,2148.000,
2009-10-01,,2431.000,2142.000,
2009-11-01,,2419.000,2133.000,
2009-12-01,,2411.000,2125.000,
2010-01-01,1837.000,2415.000,2128.000,
2010-02-01,1833.000,2420.000,2132.000,
2010-03-01,1844.000,2424.000,2135.000,
2010-04-01,1856.000,2432.000,2141.000,
2010-05-01,1866.000,2444.000,2151.000,
2010-06-01,1883.000,2459.000,2166.000,
2010-07-01,1888.000,2476.000,2180.000,
2010-08-01,1901.000,2491.000,2193.000,
2010-09-01,1907.000,2506.000,2206.000,
2010-10-01,1923.000,2517.000,2216.000,
2010-11-01,1915.000,2523.000,2220.000,
2010-12-01,1932.000,2531.000,2228.000,
2011-01-01,1937.000,2543.000,2238.000,
2011-02-01,1940.000,2555.000,2248.000,
2011-03-01,1942.000,2569.000,2260.000,
2011-04-01,1965.000,2586.000,2275.000,
2011-05-01,1981.000,2600.000,2287.000,
2011-06-01,1994.000,2617.000,2303.000,
2011-07-01,2007.000,2636.000,2319.000,
2011-08-01,2023.000,2652.000,2333.000,
2011-09-01,2035.000,2666.000,2346.000,
2011-10-01,2045.000,2680.000,2358.000,
2011-11-01,2049.000,2685.000,2362.000,
2011-12-01,2050.000,2689.000,2366.000,
2012-01-01,2054.000,2697.000,2372.000,1753.000
2012-02-01,2067.000,2705.000,2380.000,1790.000
2012-03-01,2071.000,2718.000,2390.000,1793.000
2012-04-01,2091.000,2732.000,2403.000,1769.000
2012-05-01,2103.000,2748.000,2417.000,1788.000
2012-06-01,2115.000,2761.000,2429.000,1792.000
2012-07-01,2129.000,2777.000,2443.000,1804.000
2012-08-01,2144.000,2791.000,2456.000,1795.000
2012-09-01,2153.000,2800.000,2464.000,1804.000
2012-10-01,2166.000,2806.000,2470.000,1807.000
2012-11-01,2181.000,2811.000,2476.000,1817.000
2012-12-01,2194.000,2812.000,2479.000,1821.000
2013-01-01,2197.000,2814.000,2481.000,1821.000
2013-02-01,2205.000,2824.000,2489.000,1815.000
2013-03-01,2210.000,2832.000,2495.000,1818.000
2013-04-01,2224.000,2840.000,2504.000,1823.000
2013-05-01,2240.000,2856.000,2519.000,1837.000
2013-06-01,2259.000,2868.000,2531.000,1845.000
2013-07-01,2278.000,2880.000,2543.000,1863.000
2013-08-01,2291.000,2891.000,2553.000,1875.000
2013-09-01,2299.000,2900.000,2561.000,1883.000
2013-10-01,2309.000,2904.000,2565.000,1884.000
2013-11-01,2308.000,2904.000,2564.000,1878.000
2013-12-01,2307.000,2898.000,2559.000,1874.000
2014-01-01,2307.000,2900.000,2561.000,1879.000
2014-02-01,2312.000,2904.000,2564.000,1885.000
2014-03-01,2315.000,2911.000,2570.000,1887.000
2014-04-01,2327.000,2927.000,2583.000,1898.000
2014-05-01,2344.000,2946.000,2599.000,1903.000
2014-06-01,2357.000,2959.000,2611.000,1912.000
2014-07-01,2370.000,2972.000,2624.000,1929.000
2014-08-01,2387.000,2986.000,2638.000,1940.000
2014-09-01,2394.000,2993.000,2645.000,1955.000
2014-10-01,2393.000,2997.000,2648.000,1965.000
2014-11-01,2395.000,2996.000,2647.000,1964.000
2014-12-01,2397.000,2997.000,2649.000,1968.000
2015-01-01,2405.000,3002.000,2654.000,1977.000
2015-02-01,2412.000,3013.000,2663.000,1982.000
2015-03-01,2419.000,3025.000,2673.000,1985.000
2015-04-01,2432.000,3040.000,2685.000,1992.000
2015-05-01,2445.000,3060.000,2702.000,2000.000
2015-06-01,2460.000,3078.000,2718.000,2011.000
2015-07-01,2476.000,3093.000,2732.000,2028.000
2015-08-01,2487.000,3105.000,2744.000,2039.000
2015-09-01,2498.000,3111.000,2751.000,2047.000
2015-10-01,2500.000,3111.000,2752.000,2050.000
2015-11-01,2503.000,3106.000,2749.000,2045.000
2015-12-01,2501.000,3101.000,2745.000,2044.000
2016-01-01,2500.000,3100.000,2745.000,2050.000
2016-02-01,2500.000,3101.000,2746.000,2052.000
2016-03-01,2506.000,3107.000,2751.000,2055.000
2016-04-01,2513.000,3118.000,2760.000,2063.000
2016-05-01,2520.000,3132.000,2771.000,2070.000
2016-06-01,2529.000,3144.000,2781.000,2078.000
2016-07-01,2537.000,3154.000,2790.000,2087.000
2016-08-01,2545.000,3159.000,2795.000,2095.000
2016-09-01,2549.000,3158.000,2796.000,2099.000
2016-10-01,2546.000,3149.000,2791.000,2100.000
2016-11-01,2543.000,3136.000,2781.000,2091.000
2016-12-01,2533.000,3126.000,2773.000,2087.000
2017-01-01,2530.000,3117.000,2767.000,2087.000
2017-02-01,2527.000,3113.000,2764.000,2092.000
2017-03-01,2528.000,3114.000,2765.000,2095.000
2017-04-01,2533.000,3122.000,2772.000,2098.000
2017-05-01,2540.000,3134.000,2781.000,2100.000
2017-06-01,2549.000,3146.000,2791.000,2107.000
2017-07-01,2558.000,3156.000,2800.000,2117.000
2017-08-01,2568.000,3163.000,2807.000,2120.000
2017-09-01,2570.000,3162.000,2807.000,2121.000
2017-10-01,2564.000,3153.000,2798.000,2105.000
2017-11-01,2558.000,3137.000,2786.000,2094.000
