,areaName,Borough,areaType,Date,Median Price
0,All Downtown,Manhattan,submarket,2010-01-01,3200.0
1,All Downtown,Manhattan,submarket,2010-02-01,3200.0
2,All Downtown,Manhattan,submarket,2010-03-01,3015.0
3,All Downtown,Manhattan,submarket,2010-04-01,3100.0
4,All Downtown,Manhattan,submarket,2010-05-01,3100.0
5,All Downtown,Manhattan,submarket,2010-06-01,3200.0
6,All Downtown,Manhattan,submarket,2010-07-01,3195.0
7,All Downtown,Manhattan,submarket,2010-08-01,3198.0
8,All Downtown,Manhattan,submarket,2010-09-01,3400.0
9,All Downtown,Manhattan,submarket,2010-10-01,3495.0
10,All Downtown,Manhattan,submarket,2010-11-01,3450.0
11,All Downtown,Manhattan,submarket,2010-12-01,3400.0
12,All Downtown,Manhattan,submarket,2011-01-01,3350.0
13,All Downtown,Manhattan,submarket,2011-02-01,3395.0
14,All Downtown,Manhattan,submarket,2011-03-01,3300.0
15,All Downtown,Manhattan,submarket,2011-04-01,3300.0
16,All Downtown,Manhattan,submarket,2011-05-01,3378.0
17,All Downtown,Manhattan,submarket,2011-06-01,3400.0
18,All Downtown,Manhattan,submarket,2011-07-01,3375.0
19,All Downtown,Manhattan,submarket,2011-08-01,3495.0
20,All Downtown,Manhattan,submarket,2011-09-01,3600.0
21,All Downtown,Manhattan,submarket,2011-10-01,3650.0
22,All Downtown,Manhattan,submarket,2011-11-01,3550.0
23,All Downtown,Manhattan,submarket,2011-12-01,3495.0
24,All Downtown,Manhattan,submarket,2012-01-01,3450.0
25,All Downtown,Manhattan,submarket,2012-02-01,3450.0
26,All Downtown,Manhattan,submarket,2012-03-01,3500.0
27,All Downtown,Manhattan,submarket,2012-04-01,3500.0
28,All Downtown,Manhattan,submarket,2012-05-01,3550.0
29,All Downtown,Manhattan,submarket,2012-06-01,3550.0
30,All Downtown,Manhattan,submarket,2012-07-01,3500.0
31,All Downtown,Manhattan,submarket,2012-08-01,3550.0
32,All Downtown,Manhattan,submarket,2012-09-01,3600.0
33,All Downtown,Manhattan,submarket,2012-10-01,3600.0
34,All Downtown,Manhattan,submarket,2012-11-01,3650.0
35,All Downtown,Manhattan,submarket,2012-12-01,3650.0
36,All Downtown,Manhattan,submarket,2013-01-01,3500.0
37,All Downtown,Manhattan,submarket,2013-02-01,3500.0
38,All Downtown,Manhattan,submarket,2013-03-01,3500.0
39,All Downtown,Manhattan,submarket,2013-04-01,3500.0
40,All Downtown,Manhattan,submarket,2013-05-01,3500.0
41,All Downtown,Manhattan,submarket,2013-06-01,3500.0
42,All Downtown,Manhattan,submarket,2013-07-01,3500.0
43,All Downtown,Manhattan,submarket,2013-08-01,3550.0
44,All Downtown,Manhattan,submarket,2013-09-01,3650.0
45,All Downtown,Manhattan,submarket,2013-10-01,3650.0
46,All Downtown,Manhattan,submarket,2013-11-01,3695.0
47,All Downtown,Manhattan,submarket,2013-12-01,3600.0
48,All Downtown,Manhattan,submarket,2014-01-01,3615.0
49,All Downtown,Manhattan,submarket,2014-02-01,3600.0
50,All Downtown,Manhattan,submarket,2014-03-01,3600.0
51,All Downtown,Manhattan,submarket,2014-04-01,3650.0
52,All Downtown,Manhattan,submarket,2014-05-01,3645.0
53,All Downtown,Manhattan,submarket,2014-06-01,3595.0
54,All Downtown,Manhattan,submarket,2014-07-01,3595.0
55,All Downtown,Manhattan,submarket,2014-08-01,3595.0
56,All Downtown,Manhattan,submarket,2014-09-01,3645.0
57,All Downtown,Manhattan,submarket,2014-10-01,3600.0
58,All Downtown,Manhattan,submarket,2014-11-01,3600.0
59,All Downtown,Manhattan,submarket,2014-12-01,3600.0
60,All Downtown,Manhattan,submarket,2015-01-01,3600.0
61,All Downtown,Manhattan,submarket,2015-02-01,3641.0
62,All Downtown,Manhattan,submarket,2015-03-01,3650.0
63,All Downtown,Manhattan,submarket,2015-04-01,3700.0
64,All Downtown,Manhattan,submarket,2015-05-01,3750.0
65,All Downtown,Manhattan,submarket,2015-06-01,3700.0
66,All Downtown,Manhattan,submarket,2015-07-01,3700.0
67,All Downtown,Manhattan,submarket,2015-08-01,3769.0
68,All Downtown,Manhattan,submarket,2015-09-01,3795.0
69,All Downtown,Manhattan,submarket,2015-10-01,3800.0
70,All Downtown,Manhattan,submarket,2015-11-01,3750.0
71,All Downtown,Manhattan,submarket,2015-12-01,3770.0
72,All Downtown,Manhattan,submarket,2016-01-01,3700.0
73,All Downtown,Manhattan,submarket,2016-02-01,3700.0
74,All Downtown,Manhattan,submarket,2016-03-01,3750.0
75,All Downtown,Manhattan,submarket,2016-04-01,3795.0
76,All Downtown,Manhattan,submarket,2016-05-01,3800.0
77,All Downtown,Manhattan,submarket,2016-06-01,3850.0
78,All Downtown,Manhattan,submarket,2016-07-01,3880.0
79,All Downtown,Manhattan,submarket,2016-08-01,3795.0
