areaName,Borough,areaType,Date,Value
All Downtown,Manhattan,submarket,2010-01-01,3200.0
All Midtown,Manhattan,submarket,2010-01-01,2875.0
All Upper East Side,Manhattan,submarket,2010-01-01,2450.0
All Upper Manhattan,Manhattan,submarket,2010-01-01,1825.0
All Upper West Side,Manhattan,submarket,2010-01-01,2895.0
Astoria,Queens,neighborhood,2010-01-01,1600.0
Auburndale,Queens,neighborhood,2010-01-01,
Bath Beach,Brooklyn,neighborhood,2010-01-01,
Battery Park City,Manhattan,neighborhood,2010-01-01,3495.0
Bay Ridge,Brooklyn,neighborhood,2010-01-01,1350.0
Baychester,Bronx,neighborhood,2010-01-01,
Bayside,Queens,neighborhood,2010-01-01,1775.0
Bedford Park,Bronx,neighborhood,2010-01-01,
Bedford-Stuyvesant,Brooklyn,neighborhood,2010-01-01,1650.0
Bellerose,Queens,neighborhood,2010-01-01,
Belmont,Bronx,neighborhood,2010-01-01,
Bensonhurst,Brooklyn,neighborhood,2010-01-01,
Bergen Beach,Brooklyn,neighborhood,2010-01-01,
Boerum Hill,Brooklyn,neighborhood,2010-01-01,2600.0
Borough Park,Brooklyn,neighborhood,2010-01-01,
Briarwood,Queens,neighborhood,2010-01-01,
Brighton Beach,Brooklyn,neighborhood,2010-01-01,
Bronx,Bronx,borough,2010-01-01,1600.0
Bronxwood,Bronx,neighborhood,2010-01-01,
Brooklyn,Brooklyn,borough,2010-01-01,2200.0
Brooklyn Heights,Brooklyn,neighborhood,2010-01-01,2350.0
Brookville,Queens,neighborhood,2010-01-01,
Brownsville,Brooklyn,neighborhood,2010-01-01,
Bushwick,Brooklyn,neighborhood,2010-01-01,1599.0
Cambria Heights,Queens,neighborhood,2010-01-01,
Canarsie,Brooklyn,neighborhood,2010-01-01,
Carroll Gardens,Brooklyn,neighborhood,2010-01-01,2263.0
Castle Hill,Bronx,neighborhood,2010-01-01,
Central Harlem,Manhattan,neighborhood,2010-01-01,1950.0
Central Park South,Manhattan,neighborhood,2010-01-01,6000.0
Central Queens,Queens,submarket,2010-01-01,1500.0
Chelsea,Manhattan,neighborhood,2010-01-01,3200.0
Chinatown,Manhattan,neighborhood,2010-01-01,2900.0
City Island,Bronx,neighborhood,2010-01-01,
Civic Center,Manhattan,neighborhood,2010-01-01,
Clearview,Queens,neighborhood,2010-01-01,
Clinton Hill,Brooklyn,neighborhood,2010-01-01,2085.0
Co-op City,Bronx,neighborhood,2010-01-01,
Cobble Hill,Brooklyn,neighborhood,2010-01-01,1900.0
College Point,Queens,neighborhood,2010-01-01,
Columbia St Waterfront District,Brooklyn,neighborhood,2010-01-01,2000.0
Concourse,Bronx,neighborhood,2010-01-01,
Coney Island,Brooklyn,neighborhood,2010-01-01,
Corona,Queens,neighborhood,2010-01-01,1100.0
Country Club,Bronx,neighborhood,2010-01-01,
Crotona Park East,Bronx,neighborhood,2010-01-01,
Crown Heights,Brooklyn,neighborhood,2010-01-01,2000.0
DUMBO,Brooklyn,neighborhood,2010-01-01,3275.0
Ditmas Park,Brooklyn,neighborhood,2010-01-01,1600.0
Douglaston,Queens,neighborhood,2010-01-01,
Downtown Brooklyn,Brooklyn,neighborhood,2010-01-01,2247.0
Dyker Heights,Brooklyn,neighborhood,2010-01-01,
East Brooklyn,Brooklyn,submarket,2010-01-01,1700.0
East Elmhurst,Queens,neighborhood,2010-01-01,
East Flatbush,Brooklyn,neighborhood,2010-01-01,2000.0
East Harlem,Manhattan,neighborhood,2010-01-01,1895.0
East New York,Brooklyn,neighborhood,2010-01-01,
East Tremont,Bronx,neighborhood,2010-01-01,
East Village,Manhattan,neighborhood,2010-01-01,2500.0
Eastchester,Bronx,neighborhood,2010-01-01,
Edenwald,Bronx,neighborhood,2010-01-01,
Elmhurst,Queens,neighborhood,2010-01-01,1113.0
Financial District,Manhattan,neighborhood,2010-01-01,3200.0
Flatbush,Brooklyn,neighborhood,2010-01-01,
Flatiron,Manhattan,neighborhood,2010-01-01,3895.0
Flatlands,Brooklyn,neighborhood,2010-01-01,
Floral Park,Queens,neighborhood,2010-01-01,
Flushing,Queens,neighborhood,2010-01-01,1575.0
Fordham,Bronx,neighborhood,2010-01-01,
Forest Hills,Queens,neighborhood,2010-01-01,2000.0
Fort Greene,Brooklyn,neighborhood,2010-01-01,2470.0
Fresh Meadows,Queens,neighborhood,2010-01-01,
Gerritsen Beach,Brooklyn,neighborhood,2010-01-01,
Glen Oaks,Queens,neighborhood,2010-01-01,
Glendale,Queens,neighborhood,2010-01-01,
Gowanus,Brooklyn,neighborhood,2010-01-01,
Gramercy Park,Manhattan,neighborhood,2010-01-01,3100.0
Gravesend,Brooklyn,neighborhood,2010-01-01,
Greenpoint,Brooklyn,neighborhood,2010-01-01,2300.0
Greenwich Village,Manhattan,neighborhood,2010-01-01,3200.0
Greenwood,Brooklyn,neighborhood,2010-01-01,1775.0
Hamilton Heights,Manhattan,neighborhood,2010-01-01,1650.0
Highbridge,Bronx,neighborhood,2010-01-01,
Hillcrest,Queens,neighborhood,2010-01-01,
Hollis,Queens,neighborhood,2010-01-01,
Howard Beach,Queens,neighborhood,2010-01-01,
Hunts Point,Bronx,neighborhood,2010-01-01,
Inwood,Manhattan,neighborhood,2010-01-01,1400.0
Jackson Heights,Queens,neighborhood,2010-01-01,1250.0
Jamaica,Queens,neighborhood,2010-01-01,
Jamaica Estates,Queens,neighborhood,2010-01-01,
Jamaica Hills,Queens,neighborhood,2010-01-01,
Kensington,Brooklyn,neighborhood,2010-01-01,1788.0
Kew Gardens,Queens,neighborhood,2010-01-01,1500.0
Kew Gardens Hills,Queens,neighborhood,2010-01-01,
Kingsbridge,Bronx,neighborhood,2010-01-01,1184.0
Laconia,Bronx,neighborhood,2010-01-01,
Laurelton,Queens,neighborhood,2010-01-01,
Little Italy,Manhattan,neighborhood,2010-01-01,3295.0
Little Neck,Queens,neighborhood,2010-01-01,
Long Island City,Queens,neighborhood,2010-01-01,2325.0
Longwood,Bronx,neighborhood,2010-01-01,
Lower East Side,Manhattan,neighborhood,2010-01-01,2295.0
Manhattan,Manhattan,borough,2010-01-01,2800.0
Manhattan Beach,Brooklyn,neighborhood,2010-01-01,
Marble Hill,Manhattan,neighborhood,2010-01-01,
Marine Park,Brooklyn,neighborhood,2010-01-01,
Maspeth,Queens,neighborhood,2010-01-01,
Melrose,Bronx,neighborhood,2010-01-01,
Middle Village,Queens,neighborhood,2010-01-01,
Midtown,Manhattan,neighborhood,2010-01-01,3700.0
Midtown East,Manhattan,neighborhood,2010-01-01,2695.0
Midtown South,Manhattan,neighborhood,2010-01-01,3198.0
Midtown West,Manhattan,neighborhood,2010-01-01,2600.0
Midwood,Brooklyn,neighborhood,2010-01-01,1825.0
Mill Basin,Brooklyn,neighborhood,2010-01-01,
Morningside Heights,Manhattan,neighborhood,2010-01-01,2200.0
Morris Heights,Bronx,neighborhood,2010-01-01,
Morris Park,Bronx,neighborhood,2010-01-01,
Morrisania,Bronx,neighborhood,2010-01-01,
Mott Haven,Bronx,neighborhood,2010-01-01,
NYC,,city,2010-01-01,2650.0
New Hyde Park,Queens,neighborhood,2010-01-01,
Nolita,Manhattan,neighborhood,2010-01-01,3248.0
North Brooklyn,Brooklyn,submarket,2010-01-01,2500.0
North Corona,Queens,neighborhood,2010-01-01,
Northeast Queens,Queens,submarket,2010-01-01,1650.0
Northwest Brooklyn,Brooklyn,submarket,2010-01-01,2300.0
Northwest Queens,Queens,submarket,2010-01-01,1800.0
Norwood,Bronx,neighborhood,2010-01-01,
Oakland Gardens,Queens,neighborhood,2010-01-01,
Ocean Parkway,Brooklyn,neighborhood,2010-01-01,
Old Mill Basin,Brooklyn,neighborhood,2010-01-01,
