areaName,Borough,areaType,Date,Value,Value_Imputed
All Downtown,Manhattan,submarket,2010-01-01,3200.0,3200.0
All Downtown,Manhattan,submarket,2010-02-01,3200.0,3200.0
All Downtown,Manhattan,submarket,2010-03-01,3015.0,3015.0
All Downtown,Manhattan,submarket,2010-04-01,3100.0,3100.0
All Downtown,Manhattan,submarket,2010-05-01,3100.0,3100.0
All Downtown,Manhattan,submarket,2010-06-01,3200.0,3200.0
All Downtown,Manhattan,submarket,2010-07-01,3195.0,3195.0
All Downtown,Manhattan,submarket,2010-08-01,3198.0,3198.0
All Downtown,Manhattan,submarket,2010-09-01,3400.0,3400.0
All Downtown,Manhattan,submarket,2010-10-01,3495.0,3495.0
All Downtown,Manhattan,submarket,2010-11-01,3450.0,3450.0
All Downtown,Manhattan,submarket,2010-12-01,3400.0,3400.0
All Downtown,Manhattan,submarket,2011-01-01,3350.0,3350.0
All Downtown,Manhattan,submarket,2011-02-01,3395.0,3395.0
All Downtown,Manhattan,submarket,2011-03-01,3300.0,3300.0
All Downtown,Manhattan,submarket,2011-04-01,3300.0,3300.0
All Downtown,Manhattan,submarket,2011-05-01,3378.0,3378.0
All Downtown,Manhattan,submarket,2011-06-01,3400.0,3400.0
All Downtown,Manhattan,submarket,2011-07-01,3375.0,3375.0
All Downtown,Manhattan,submarket,2011-08-01,3495.0,3495.0
All Downtown,Manhattan,submarket,2011-09-01,3600.0,3600.0
All Downtown,Manhattan,submarket,2011-10-01,3650.0,3650.0
All Downtown,Manhattan,submarket,2011-11-01,3550.0,3550.0
All Downtown,Manhattan,submarket,2011-12-01,3495.0,3495.0
All Downtown,Manhattan,submarket,2012-01-01,3450.0,3450.0
All Downtown,Manhattan,submarket,2012-02-01,3450.0,3450.0
All Downtown,Manhattan,submarket,2012-03-01,3500.0,3500.0
All Downtown,Manhattan,submarket,2012-04-01,3500.0,3500.0
All Downtown,Manhattan,submarket,2012-05-01,3550.0,3550.0
All Downtown,Manhattan,submarket,2012-06-01,3550.0,3550.0
All Downtown,Manhattan,submarket,2012-07-01,3500.0,3500.0
All Downtown,Manhattan,submarket,2012-08-01,3550.0,3550.0
All Downtown,Manhattan,submarket,2012-09-01,3600.0,3600.0
All Downtown,Manhattan,submarket,2012-10-01,3600.0,3600.0
All Downtown,Manhattan,submarket,2012-11-01,3650.0,3650.0
All Downtown,Manhattan,submarket,2012-12-01,3650.0,3650.0
All Downtown,Manhattan,submarket,2013-01-01,3500.0,3500.0
All Downtown,Manhattan,submarket,2013-02-01,3500.0,3500.0
All Downtown,Manhattan,submarket,2013-03-01,3500.0,3500.0
All Downtown,Manhattan,submarket,2013-04-01,3500.0,3500.0
All Downtown,Manhattan,submarket,2013-05-01,3500.0,3500.0
All Downtown,Manhattan,submarket,2013-06-01,3500.0,3500.0
All Downtown,Manhattan,submarket,2013-07-01,3500.0,3500.0
