,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,7051.256185851171,5992.339022508258,8110.173349194084
1,2026-01-01,6328.580586686787,4794.700885581258,7862.460287792315
2,2026-02-01,5938.959880105056,4073.405925571192,7804.51383463892
3,2026-03-01,6000.997444862036,3831.7404704518312,8170.254419272241
4,2026-04-01,6395.900387669222,3979.557940014035,8812.24283532441
5,2026-05-01,7158.659858605353,4501.841787706021,9815.477929504686
6,2026-06-01,8864.486862727608,6001.509389141149,11727.464336314068
7,2026-07-01,9422.398757048015,6354.530817982118,12490.266696113911
8,2026-08-01,8100.774628116216,4852.059154672085,11349.490101560346
9,2026-09-01,7192.050187656736,3762.025061940255,10622.075313373218
10,2026-10-01,6786.589631587598,3193.358700083657,10379.82056309154
11,2026-11-01,6877.764126781882,3120.3106210239866,10635.217632539778
